,id,movie,production_budget,domestic_gross,worldwide_gross,overall_profitability,start_year,genres
4845,46,Stung,2500000,0,0,-2500000,2015,"['Action', 'Adventure', 'Comedy']"
4847,48,8 Days,2500000,0,0,-2500000,2014,"['Drama', 'Thriller']"
4848,49,Antibirth,2500000,0,0,-2500000,2016,['Horror']
4849,50,The Rise of the Krays,2500000,0,0,-2500000,2015,"['Crime', 'Drama']"
4856,57,Always Woodstock,2400000,0,0,-2400000,2014,"['Comedy', 'Music', 'Romance']"
4859,60,Do You Believe?,2300000,12985600,14304931,12004931,2015,['Drama']
4862,63,Frontera,2300000,59696,59696,-2240304,2010,"['Action', 'Drama', 'Thriller']"
4863,64,Redemption Road,2300000,29384,29384,-2270616,2010,['Drama']
4865,66,Eden,2300000,0,0,-2300000,2020,['Drama']
4868,69,Fantasia,2280000,83320000,83320000,81040000,2014,['Drama']
4877,78,The Best Years of Our Lives,2100000,23600000,23600000,21500000,2013,['Comedy']
4878,79,Bully,2100000,881824,1381824,-718176,2011,['Documentary']
4880,81,Mi America,2100000,3330,3330,-2096670,2015,"['Crime', 'Drama']"
4882,83,Infected,2100000,0,0,-2100000,2013,"['Action', 'Horror', 'Sci-Fi']"
4884,85,The Timber,2100000,0,0,-2100000,2015,"['Action', 'Adventure', 'Drama']"
4885,86,Sharkskin,2100000,0,0,-2100000,2015,"['Comedy', 'Drama', 'Mystery']"
4886,87,Courageous,2000000,34522221,35185884,33185884,2011,['Drama']
4891,92,Sleeper,2000000,18344729,18344729,16344729,2012,"['Action', 'Horror']"
4893,94,It Follows,2000000,14674077,23250755,21250755,2014,"['Horror', 'Mystery']"
4894,95,Eighth Grade,2000000,13539710,14341016,12341016,2018,"['Comedy', 'Drama']"
4896,97,Silent House,2000000,12739737,16610760,14610760,2011,"['Drama', 'Horror', 'Mystery']"
4899,100,Hardcore Henry,2000000,9252038,17187434,15187434,2015,"['Action', 'Adventure', 'Sci-Fi']"
4903,4,The Hustler,2000000,7600000,7600000,5600000,2016,['Documentary']
4906,7,Smoke Signals,2000000,6719300,7756617,5756617,2019,['Documentary']
4907,8,Winter's Bone,2000000,6531503,16131551,14131551,2010,"['Drama', 'Mystery']"
4908,9,Meet the Mormons,2000000,6047363,6049171,4049171,2014,['Documentary']
4910,11,The Florida Project,2000000,5904366,11295324,9295324,2017,['Drama']
4911,12,All Saints,2000000,5802208,5941994,3941994,2017,['Drama']
4914,15,Thirteen,2000000,4601043,9505996,7505996,2014,['Drama']
4916,17,Inside Job,2000000,4311834,7799257,5799257,2010,"['Crime', 'Documentary']"
4919,20,We Are Your Friends,2000000,3591417,10153415,8153415,2015,"['Drama', 'Music', 'Romance']"
4922,23,Captive,2000000,2583301,2791973,791973,2012,"['Drama', 'Thriller']"
4924,25,Hearts Beat Loud,2000000,2386254,2420962,420962,2018,"['Comedy', 'Drama', 'Music']"
4925,26,The Resurrection of Gavin Stone,2000000,2303792,2303792,303792,2016,"['Comedy', 'Drama', 'Family']"
4929,30,Nemesis,2000000,2001124,2001124,1124,2010,['Drama']
4934,35,The Diary of a Teenage Girl,2000000,1477002,2279959,279959,2015,"['Comedy', 'Drama', 'Romance']"
4936,37,Locke,2000000,1370646,2088390,88390,2013,['Drama']
4937,38,Get Real,2000000,1152411,1152411,-847589,2019,['Drama']
4938,39,In the Shadow of the Moon,2000000,1134358,2175587,175587,2019,['Thriller']
4939,40,Meek's Cutoff,2000000,977772,1869928,-130072,2010,"['Drama', 'Western']"
4940,41,The Babadook,2000000,950792,7482387,5482387,2014,"['Drama', 'Horror']"
4943,44,The Virginity Hit,2000000,636706,636706,-1363294,2010,['Comedy']
4947,48,Teeth,2000000,347578,2350641,350641,2016,"['Documentary', 'History']"
4948,49,Stonewall,2000000,304602,304602,-1695398,2015,"['Drama', 'History']"
4950,51,The Last Five Years,2000000,147299,205298,-1794702,2014,"['Comedy', 'Drama', 'Musical']"
4956,57,Pump,2000000,72277,72277,-1927723,2014,['Documentary']
4959,60,Lost River,2000000,45431,2009644,9644,2014,"['Drama', 'Fantasy', 'Mystery']"
4961,62,Knock Knock,2000000,36336,6328516,4328516,2015,"['Drama', 'Thriller']"
4966,67,The First Time,2000000,17061,17061,-1982939,2012,"['Comedy', 'Drama', 'Romance']"
4968,69,Circle,2000000,10024,10024,-1989976,2010,"['Horror', 'Thriller']"
4972,73,Plush,2000000,3080,28864,-1971136,2013,"['Drama', 'Music', 'Thriller']"
4973,74,The Ghastly Love of Johnny X,2000000,2436,2436,-1997564,2012,"['Comedy', 'Fantasy', 'Musical']"
4975,76,Grave Encounters,2000000,0,2151887,151887,2011,['Horror']
4976,77,Bone Tomahawk,2000000,0,475846,-1524154,2015,"['Adventure', 'Drama', 'Horror']"
4978,79,Stitches,2000000,0,63555,-1936445,2010,['Horror']
4981,82,Nine Dead,2000000,0,0,-2000000,2010,"['Crime', 'Drama', 'Horror']"
4983,84,Rockaway,2000000,0,0,-2000000,2017,"['Adventure', 'Drama']"
4984,85,Wings,2000000,0,0,-2000000,2012,"['Adventure', 'Animation', 'Comedy']"
4986,87,Straight A's,2000000,0,0,-2000000,2013,"['Comedy', 'Drama']"
4988,89,Highway,2000000,0,0,-2000000,2012,['Comedy']
4989,90,Small Apartments,2000000,0,0,-2000000,2012,"['Comedy', 'Crime', 'Drama']"
4990,91,Coffee Town,2000000,0,0,-2000000,2013,['Comedy']
4991,92,Lucky Dog,2000000,0,0,-2000000,2012,"['Comedy', 'Crime']"
4992,93,Pendulum,2000000,0,0,-2000000,2017,['Thriller']
4995,96,The Walking Deceased,2000000,0,0,-2000000,2015,"['Comedy', 'Horror']"
4996,97,True Bromance,2000000,0,0,-2000000,2011,['Comedy']
4997,98,The Curse of Downers Grove,2000000,0,0,-2000000,2015,"['Drama', 'Horror', 'Mystery']"
4998,99,Wind Walkers,2000000,0,0,-2000000,2015,"['Action', 'Horror', 'Thriller']"
4999,100,The Dog Lover,2000000,0,0,-2000000,2016,['Drama']
5000,1,Shark Lake,2000000,0,0,-2000000,2015,"['Action', 'Adventure', 'Crime']"
5001,2,Buried,1987650,1044143,21270290,19282640,2010,"['Drama', 'Mystery', 'Thriller']"
5003,4,River's Edge,1900000,4600000,4600000,2700000,2018,['Crime']
5007,8,Brotherly Love,1900000,478595,478595,-1421405,2015,['Drama']
5008,9,Submarine,1900000,467602,4581937,2681937,2010,"['Comedy', 'Drama', 'Romance']"
5009,10,The Square,1900000,406216,740932,-1159068,2013,"['Documentary', 'Drama', 'History']"
5010,11,ABCD (Any Body Can Dance),1900000,222098,10137234,8237234,2013,"['Drama', 'Music']"
5012,13,Stranded,1900000,0,285593,-1614407,2019,"['Drama', 'Romance']"
5013,14,Vaalu,1900000,0,12444,-1887556,2015,"['Comedy', 'Romance']"
5014,15,The Last Exorcism,1800000,41034350,70165900,68365900,2010,"['Drama', 'Horror', 'Thriller']"
5017,18,Beasts of the Southern Wild,1800000,12795746,23265132,21465132,2012,"['Adventure', 'Drama', 'Fantasy']"
5024,25,Higher Ground,1800000,841056,842693,-957307,2011,['Drama']
5028,29,Deadline,1800000,0,0,-1800000,2012,"['Drama', 'Mystery', 'Thriller']"
5029,30,Sublime,1800000,0,0,-1800000,2019,['Documentary']
5030,31,Dysfunctional Friends,1800000,0,0,-1800000,2012,"['Comedy', 'Drama']"
5031,32,Independence Daysaster,1800000,0,0,-1800000,2013,"['Action', 'Adventure', 'Sci-Fi']"
5035,36,May,1750000,145540,634803,-1115197,2014,['Documentary']
5036,37,I Spit on Your Grave,1750000,93051,1278471,-471529,2010,"['Horror', 'Thriller']"
5037,38,Living Dark: The Story of Ted the Caver,1750000,0,0,-1750000,2013,['Horror']
